emp_no,salary,from_date,to_date
15258,40000,1999-04-11,1999-10-02
15259,40000,1986-08-20,1987-08-20
15260,40000,1989-03-15,1990-03-15
15261,62871,1995-10-16,1996-10-15
15262,56845,1987-09-24,1988-09-23
15263,72318,1992-01-09,1993-01-08
15264,52161,1995-06-03,1996-06-02
15265,71009,1995-03-05,1996-03-04
15266,40000,1991-06-22,1992-06-21
15267,57037,1997-01-27,1998-01-27
15268,74663,1991-01-21,1992-01-21
15269,60930,1986-08-21,1987-08-21
15270,40000,1994-05-09,1995-05-09
15271,88026,1986-12-05,1987-12-05
15272,40000,1993-03-22,1994-03-22
15273,46374,1996-03-31,1997-03-31
15274,40000,1993-01-30,1994-01-30
15275,40000,1996-02-11,1997-02-10
15276,40000,1995-10-14,1996-10-13
15277,67600,1989-01-31,1990-01-31
15278,40000,1987-10-29,1988-10-28
15279,70753,1998-07-09,1999-07-09
15280,40510,1986-03-26,1987-03-26
15281,40000,1988-08-29,1989-08-29
15282,40000,1993-01-25,1994-01-25
15283,50063,1998-03-12,1999-03-12
15284,81080,1987-11-18,1988-11-17
15285,40000,1986-01-03,1987-01-03
15286,67186,1989-11-10,1990-11-10
15287,74880,1991-06-16,1992-06-15
15288,60031,1991-11-07,1992-11-06
15289,40000,1994-08-17,1995-08-17
15290,50295,1998-08-27,1999-08-27
15291,40000,1988-07-05,1989-07-05
15292,87586,1986-07-31,1987-07-31
15293,59838,1989-09-28,1990-09-28
15294,40000,1999-06-07,2000-06-06
15295,54607,1988-04-25,1989-04-25
15296,49582,1992-05-12,1993-05-12
15297,53048,1997-10-23,1998-10-23
15298,43452,1986-08-16,1987-08-16
15299,48329,1998-08-26,1999-08-26
15300,67912,1994-09-22,1995-09-22
15301,45383,1994-12-03,1995-12-03
15302,40000,1996-08-02,1997-08-02
15303,40000,1999-02-26,2000-02-26
15304,71009,1987-11-21,1988-11-20
15305,43350,1990-05-12,1991-05-12
15306,51139,1999-03-08,2000-03-07
15307,53911,1998-07-31,1999-07-31
15308,40000,1998-09-12,1999-09-12
15309,40000,1999-10-04,2000-10-03
15310,63242,1997-11-09,1998-11-09
15311,40000,1988-09-12,1989-09-12
15312,40508,1996-09-13,1997-09-13
15313,70461,1995-03-06,1996-03-05
15314,47317,1989-05-31,1990-05-31
15315,48786,1996-01-14,1997-01-13
15316,56080,1992-12-11,1993-12-11
15317,40000,1992-10-21,1993-10-21
15318,40000,1995-03-13,1996-03-12
15319,40000,1989-03-01,1990-03-01
15320,40000,1993-03-26,1994-03-26
15321,40000,1992-05-22,1993-05-22
15322,40000,1985-02-04,1986-02-04
15323,77202,1988-04-02,1989-04-02
15324,40000,1991-03-26,1992-03-25
15325,50100,1986-01-04,1987-01-04
15326,73425,1989-01-26,1990-01-26
15327,53881,1990-07-10,1991-07-10
15328,47842,1987-11-05,1988-11-04
15329,41839,1997-08-16,1998-08-16
15330,53020,1988-05-30,1989-05-30
15331,78519,1999-07-25,2000-07-24
15332,40000,1990-08-29,1991-08-29
15333,87907,1998-08-10,1999-08-10
15334,40000,2000-01-31,2001-01-30
15335,61246,1993-07-28,1994-07-28
15336,62444,1991-03-26,1992-03-25
15337,40000,1988-08-07,1989-08-07
15338,40387,1992-10-14,1993-10-14
15339,61499,1992-05-02,1993-05-02
15340,40000,1993-01-28,1994-01-28
15341,81298,1990-03-04,1991-03-04
15342,58617,1992-04-25,1993-04-25
15343,48936,1985-03-12,1986-03-12
15344,42203,1999-12-31,2000-12-30
15345,40000,1995-02-16,1996-02-16
15346,40000,1991-12-07,1992-12-06
15347,69485,1997-03-25,1998-03-25
15348,40000,1997-05-29,1998-05-29
15349,40000,1999-10-29,2000-10-28
15350,50037,1990-03-23,1990-11-28
15351,61062,1988-08-28,1989-08-28
15352,60047,1993-10-02,1994-10-02
15353,47493,1996-07-05,1997-07-05
15354,40782,1994-10-18,1995-10-18
15355,57428,1987-10-09,1988-10-08
15356,40000,2000-01-19,2001-01-18
15357,41001,1987-06-28,1988-06-27
15358,40000,1999-10-21,2000-10-20
15359,85086,1985-10-19,1986-10-19
15360,83200,1997-10-26,1998-10-25
15361,40000,1993-12-25,1994-12-25
15362,40000,1988-12-30,1989-12-30
15363,40000,1987-09-29,1988-09-28
15364,56783,1999-05-06,2000-05-05
15365,41309,1986-08-11,1987-08-11
15366,40712,1993-05-09,1994-05-09
15367,66173,1991-07-09,1992-07-08
15368,44844,1999-05-18,2000-05-17
15369,81954,1999-08-20,2000-08-19
15370,67631,1993-12-21,1994-12-21
15371,94288,1988-11-05,1989-11-05
15372,79245,1988-10-12,1989-10-12
15373,61647,1996-10-24,1997-10-24
15374,40000,1996-01-06,1997-01-05
15375,65920,1994-11-03,1995-11-03
15376,40000,1988-08-14,1989-08-14
15377,50274,1986-12-19,1987-12-19
15378,75440,1988-11-23,1989-11-23
15379,40000,1994-09-04,1995-09-04
15380,64071,1987-06-12,1988-06-11
15381,48236,1993-05-22,1994-05-22
15382,66083,1985-12-26,1986-12-26
15383,66521,1994-07-21,1995-07-21
15384,40000,1995-04-08,1996-04-06
15385,40000,1987-01-17,1988-01-17
15386,77209,1999-02-01,1999-06-18
15387,40000,1985-12-04,1986-12-04
15388,66286,1994-11-12,1995-11-12
15389,48997,1999-07-01,2000-06-30
15390,40000,1999-01-16,2000-01-16
15391,84369,1986-02-08,1987-02-08
15392,55638,1994-07-04,1995-07-04
15393,66856,1992-11-25,1993-11-25
15394,72446,1998-06-28,1999-06-28
15395,40931,1995-05-22,1996-05-21
15396,40000,1986-04-02,1987-04-02
15397,40000,1990-08-13,1991-08-13
15398,40000,1991-10-06,1992-10-05
15399,40000,1985-05-01,1986-05-01
15400,40000,1995-03-10,1996-03-09
15401,45883,1998-08-11,1999-08-11
15402,40000,1994-06-04,1995-06-04
15403,52659,1990-03-02,1991-03-02
15404,66853,1992-10-25,1993-10-25
15405,40000,1989-07-19,1990-07-19
15406,40000,1996-08-04,1997-08-04
15407,40999,1998-02-22,1999-02-22
15408,40000,1996-11-23,1997-11-23
15409,41103,1993-03-17,1994-03-17
15410,58123,1989-09-13,1990-09-13
15411,40000,1997-02-28,1998-02-28
15412,62190,1985-08-23,1986-08-23
15413,40000,1994-01-01,1995-01-01
15414,74013,1995-09-02,1996-09-01
15415,75844,1999-04-23,2000-04-22
15416,67354,1986-02-28,1987-02-28
15417,40727,1988-06-02,1989-06-02
15418,72535,1985-10-25,1986-10-25
15419,67244,1996-09-25,1997-09-25
15420,40000,1990-04-17,1991-04-17
15421,40000,1997-08-12,1998-08-12
15422,64396,1994-01-08,1995-01-08
15423,43875,1986-11-18,1987-11-18
15424,40000,1995-12-16,1996-12-15
15425,47184,1997-10-26,1998-10-25
15426,51994,1999-09-30,2000-09-29
15427,41789,1998-02-15,1999-02-15
15428,40000,1993-02-17,1994-02-17
15429,83810,1993-11-12,1994-11-12
15430,47875,1996-07-22,1997-07-22
15431,53873,1987-12-15,1988-12-14
15432,60935,1986-04-16,1987-04-16
15433,53536,1993-11-20,1994-11-20
15434,40000,1995-09-03,1996-09-02
15435,40000,1994-01-08,1995-01-08
15436,53575,1999-01-27,2000-01-27
15437,46280,1991-04-18,1992-04-17
15438,43326,1986-12-24,1987-12-24
15439,74668,1999-10-31,2000-10-29
15440,68053,1997-06-08,1998-06-08
15441,40000,1993-02-05,1994-02-05
15442,44601,1996-07-23,1997-07-23
15443,40000,1990-05-18,1991-05-18
15444,40000,1989-03-08,1990-03-08
15445,40000,1996-12-30,1997-12-30
15446,45869,1995-07-11,1996-07-10
15447,45932,1989-09-13,1990-09-13
15448,40000,1996-03-24,1997-03-24
15449,70525,1988-01-16,1989-01-15
15450,40000,1999-06-14,2000-04-17
15451,40000,1996-05-03,1997-05-03
15452,40000,1995-05-11,1996-05-10
15453,40000,1989-03-23,1990-03-23
15454,57571,1986-02-27,1987-02-27
15455,68321,1989-06-19,1990-06-19
15456,54161,1994-05-23,1995-05-23
15457,41051,1989-02-20,1990-02-20
15458,40000,1996-12-09,1997-12-09
15459,40000,1997-11-23,1998-11-23
15460,52636,1988-01-25,1989-01-24
15461,54875,1993-08-18,1994-08-18
15462,40529,1987-08-23,1988-08-22
15463,40000,1996-04-21,1997-04-21
15464,69900,1986-10-25,1987-10-25
15465,40000,1992-07-03,1993-07-03
15466,66338,1991-02-07,1992-02-07
15467,76733,1987-08-20,1988-08-19
15468,40000,1996-10-18,1997-10-18
15469,71346,1991-06-29,1992-06-28
15470,40693,1996-08-08,1997-08-08
15471,47371,1993-02-25,1994-02-25
15472,49862,1996-04-30,1997-04-30
15473,40000,1994-01-09,1995-01-09
15474,90430,1994-12-04,1995-12-04
15475,40000,1991-09-04,1992-09-03
15476,60363,1986-09-28,1987-09-28
15477,40000,1991-11-30,1992-11-29
15478,83566,1994-07-02,1995-07-02
15479,40000,1987-01-25,1988-01-25
15480,47645,1990-04-29,1991-04-29
15481,73147,1993-08-23,1994-08-23
15482,47679,1989-12-23,1990-12-23
15483,40000,1993-09-09,1993-10-18
15484,40611,1993-11-03,1994-11-03
15485,44353,1988-11-07,1989-11-07
15486,65966,1989-02-20,1990-02-20
15487,54183,1997-04-13,1998-04-13
15488,40356,1993-04-04,1994-04-04
15489,53575,1997-07-06,1998-07-06
15490,47617,1992-11-09,1993-11-09
15491,61291,1989-08-08,1990-08-08
15492,49363,1989-04-02,1990-04-02
15493,45797,1992-06-28,1993-06-28
15494,40000,1995-02-12,1996-02-12
15495,74919,1988-05-25,1989-05-25
15496,44126,1987-12-06,1988-12-05
15497,44126,1999-05-31,2000-05-30
15498,47706,1996-09-10,1997-08-06
15499,77400,1990-04-24,1991-04-24
15500,40000,1997-10-29,1998-10-29
15501,72018,1998-04-06,1999-04-06
15502,60270,1991-05-14,1992-05-13
15503,70668,1987-12-10,1988-12-09
15504,40000,1997-02-06,1998-02-06
15505,56848,1986-08-30,1987-08-30
15506,71647,1992-09-07,1993-09-07
15507,61101,1988-08-07,1989-08-07
15508,44377,1994-03-03,1995-03-03
15509,43807,1985-08-12,1985-12-09
15510,48661,1987-08-29,1988-08-28
15511,76880,1986-04-20,1987-04-20
15512,59369,1990-10-01,1991-10-01
15513,76266,1989-05-20,1990-05-20
15514,44940,1995-06-29,1996-06-28
15515,40000,2000-01-11,2001-01-10
15516,40000,1988-05-20,1989-05-20
15517,40000,1997-03-21,1998-03-21
15518,55563,1990-10-03,1991-10-03
15519,78935,1985-10-08,1986-10-08
15520,44974,1988-01-28,1989-01-27
15521,71078,1985-11-16,1986-11-16
15522,40000,1999-12-20,2000-12-19
15523,40000,1991-07-02,1992-07-01
15524,40000,1997-07-20,1998-07-20
15525,40000,1993-04-27,1994-04-27
15526,59558,1994-07-16,1995-07-16
15527,40000,1999-03-08,2000-03-07
15528,40000,1992-02-06,1993-02-05
15529,40000,1990-06-11,1991-06-11
15530,40000,1995-07-09,1996-07-08
15531,46557,1994-10-12,1995-10-12
15532,53298,1992-07-29,1993-07-29
15533,75189,1989-05-21,1990-05-21
15534,63090,1987-05-06,1988-05-05
15535,40000,1997-05-26,1998-05-26
15536,56589,1998-05-27,1999-05-27
15537,40000,1993-11-25,1994-11-25
15538,40000,1988-02-05,1989-02-04
15539,47803,1986-03-02,1987-03-02
15540,40000,1988-12-01,1989-12-01
15541,50265,1999-03-06,2000-03-05
15542,59805,1988-04-26,1989-04-26
15543,40000,1988-07-30,1989-07-30
15544,73832,1993-05-16,1994-05-16
15545,40000,1985-09-10,1986-09-10
15546,67902,1998-08-09,1999-08-09
15547,40000,1987-02-03,1988-02-03
15548,48171,1988-05-08,1989-05-08
15549,74210,1999-01-24,2000-01-24
15550,40000,1993-07-01,1994-07-01
15551,42786,1996-01-16,1997-01-15
15552,40000,1995-12-29,1996-12-28
15553,63628,1990-03-29,1991-03-29
15554,67250,1995-03-27,1996-03-26
15555,40000,1989-05-10,1990-05-10
15556,67576,1992-10-12,1993-10-12
15557,58717,1998-01-23,1999-01-23
15558,77328,1985-12-20,1986-12-20
15559,46835,1990-03-11,1991-03-11
15560,69578,1991-01-30,1992-01-30
15561,56591,1994-01-09,1995-01-09
15562,65554,1990-12-29,1991-12-29
15563,56239,1987-04-08,1988-04-07
15564,48503,1999-10-03,2000-10-02
15565,73532,1986-12-16,1987-12-16
15566,61655,1988-04-11,1989-04-11
15567,40000,1998-09-02,1999-09-02
15568,40000,1995-06-21,1996-06-20
15569,40000,1988-07-04,1989-07-04
15570,52020,1986-06-18,1987-06-18
15571,40000,1997-11-09,1998-11-09
15572,40082,1998-03-08,1999-03-08
15573,40000,1993-07-12,1994-07-12
15574,58876,1988-12-19,1989-12-19
15575,49588,1992-11-11,1993-11-11
15576,40000,1992-07-16,1993-07-16
15577,89740,1997-11-15,1998-11-15
15578,40000,1996-07-14,1997-07-14
15579,40000,1999-01-19,2000-01-19
15580,49972,1986-06-07,1987-06-07
15581,40000,1994-09-19,1995-09-19
15582,72083,1998-11-24,1999-11-24
15583,85961,1992-05-04,1993-05-04
15584,41985,1999-02-18,2000-02-18
15585,40000,1994-03-22,1995-03-22
15586,40288,1998-08-28,1999-08-28
15587,69785,1989-05-01,1990-05-01
15588,40000,1993-10-07,1994-10-07
15589,45478,1995-03-20,1996-03-19
15590,58271,1986-09-26,1987-09-26
15591,46486,1992-11-14,1993-11-14
15592,57250,1992-09-16,1993-09-16
15593,76621,1996-09-01,1997-09-01
15594,59517,1988-11-10,1989-11-10
15595,65799,1986-04-29,1987-04-29
15596,76730,1999-11-15,2000-11-14
15597,73349,1985-11-09,1986-11-09
15598,95341,1986-10-07,1987-10-07
15599,63466,1987-02-16,1988-02-16
15600,40000,1985-04-26,1986-04-26
15601,83263,1994-07-10,1995-07-10
15602,51493,1990-07-27,1991-07-27
15603,40000,1995-06-04,1996-06-03
15604,65727,1995-11-10,1996-11-09
15605,40000,1993-10-24,1994-10-24
15606,40000,1985-11-29,1986-11-29
15607,80700,1991-02-17,1992-02-17
15608,45869,1994-09-12,1995-09-12
15609,53429,1998-06-13,1999-06-13
15610,46172,1999-12-30,2000-12-29
15611,46906,1998-03-31,1999-03-31
15612,57494,1998-12-30,1999-12-30
15613,44130,1990-05-29,1991-05-29
15614,71133,1995-08-13,1996-08-12
15615,43837,1993-03-08,1994-03-08
15616,75028,1996-08-23,1997-08-23
15617,40000,1987-05-01,1988-04-30
15618,57185,1990-08-12,1991-08-12
15619,40200,1999-08-17,2000-08-16
15620,72060,1987-02-14,1988-02-14
15621,52313,1996-02-05,1997-02-04
15622,65706,1997-12-20,1998-12-20
15623,52506,1985-09-23,1986-09-23
15624,44001,1991-05-26,1992-05-25
15625,40000,1987-03-10,1988-03-09
15626,41006,1997-12-17,1998-12-17
15627,68170,1995-06-08,1996-06-07
15628,47624,1992-06-11,1993-06-11
15629,48522,1990-12-07,1991-12-07
15630,57171,1999-03-28,1999-05-25
15631,40000,1989-06-03,1990-06-03
15632,40000,1990-09-11,1991-09-11
15633,49015,1997-06-06,1997-12-13
15634,45704,1994-11-17,1995-11-17
15635,82409,1997-05-17,1998-05-17
15636,40000,1998-03-05,1999-03-05
15637,73742,1992-07-09,1993-07-09
15638,54600,1992-09-04,1993-09-04
15639,40000,1997-05-15,1998-05-15
15640,40000,1990-10-16,1991-10-16
15641,56588,1993-04-07,1994-04-07
15642,40000,1990-10-27,1991-10-27
15643,58685,1999-08-16,2000-08-15
15644,74752,1990-03-17,1991-03-17
15645,54656,1992-04-30,1993-04-30
15646,64477,1996-04-13,1997-04-13
15647,45754,1996-04-22,1997-04-22
15648,53711,1985-07-20,1986-07-20
15649,81836,1997-01-01,1998-01-01
15650,45913,1997-11-16,1998-11-16
15651,50313,1985-11-22,1986-11-22
15652,40000,1994-10-20,1995-10-20
15653,54720,1999-11-07,2000-08-01
15654,40000,1989-11-19,1990-11-19
15655,82116,1985-03-02,1986-03-02
15656,66141,1987-05-26,1988-05-25
15657,62022,1989-08-31,1990-08-31
15658,62285,1989-09-17,1990-09-17
15659,75610,1989-04-27,1990-04-27
15660,52891,1996-12-27,1997-12-27
15661,40000,1997-12-10,1998-12-10
15662,40000,1999-09-04,2000-09-03
15663,47901,1990-04-18,1991-04-18
15664,53688,1997-10-11,1998-10-11
15665,40000,1993-01-27,1994-01-27
15666,40000,1998-06-15,1999-06-11
15667,78633,1996-04-11,1997-04-11
15668,40000,1998-02-18,1999-02-18
15669,44506,1991-05-21,1992-05-20
15670,62276,1997-03-01,1998-03-01
15671,58919,1990-04-24,1991-04-24
15672,61054,1992-05-21,1993-05-21
15673,40000,1996-04-30,1997-04-30
15674,69127,1988-04-28,1989-04-28
15675,69780,1998-12-14,1999-12-14
15676,42021,1994-11-16,1995-11-16
15677,40000,1989-06-24,1990-06-24
15678,68434,1988-02-06,1989-02-05
15679,40000,1997-05-07,1998-05-07
15680,82349,1990-04-19,1991-04-19
15681,65181,1989-05-27,1990-05-27
15682,40000,1988-06-20,1989-06-20
15683,60987,1995-05-09,1996-04-21
15684,40000,1995-05-26,1996-05-25
15685,43140,1992-03-13,1993-03-13
15686,40000,1995-10-19,1996-10-18
15687,62333,1990-02-13,1991-02-13
15688,40000,1994-10-27,1995-10-27
15689,40000,1995-03-11,1996-03-10
15690,64224,1996-05-09,1997-05-09
15691,40000,1994-01-13,1995-01-13
15692,40000,1997-10-04,1998-10-04
15693,52017,1993-03-30,1994-03-30
15694,40000,1992-01-28,1993-01-27
15695,40000,1998-02-15,1999-02-15
15696,40000,1987-08-21,1988-08-20
15697,40000,1995-04-23,1996-04-22
15698,64483,1991-08-25,1992-08-24
15699,48626,1994-09-30,1995-09-30
15700,40000,1993-09-03,1994-09-03
15701,76737,1986-12-28,1987-12-28
15702,73469,1997-07-25,1998-07-25
15703,40000,1994-12-06,1995-12-06
15704,45539,1996-07-29,1997-07-29
15705,40000,1993-06-03,1994-06-03
15706,46289,1999-06-04,2000-06-03
15707,51665,1994-10-15,1995-10-15
15708,85063,1990-01-22,1991-01-22
15709,61356,1985-03-11,1986-03-11
15710,40000,1992-02-26,1993-02-25
15711,43431,1997-04-02,1998-04-02
15712,40000,1991-02-10,1992-02-10
15713,40000,1998-12-06,1999-12-06
15714,40000,1995-03-09,1996-03-08
15715,40000,1999-09-21,2000-09-20
15716,82925,1999-03-07,2000-03-06
15717,95275,1992-12-10,1993-12-10
15718,65433,1999-12-02,2000-12-01
15719,42350,1990-05-28,1991-05-28
15720,54257,1993-05-24,1994-05-24
15721,56099,1987-04-28,1988-04-27
15722,52864,1987-12-17,1988-12-16
15723,47524,1990-10-21,1991-10-21
15724,40000,1997-03-17,1998-03-17
15725,46919,1987-03-31,1988-03-30
15726,70522,1996-08-28,1997-08-28
15727,40000,1994-03-27,1995-03-27
15728,40000,1986-05-30,1987-05-30
15729,78828,1987-06-01,1988-05-31
15730,40000,1991-07-14,1992-07-13
15731,55021,1985-04-01,1986-04-01
15732,40000,1989-08-03,1990-08-03
15733,40000,1990-03-03,1991-03-03
15734,49292,1996-12-24,1997-12-24
15735,82027,1987-09-01,1988-08-31
15736,75703,1999-08-09,2000-08-08
15737,42016,1999-06-07,2000-06-06
15738,41147,1987-07-14,1988-07-13
15739,54605,1999-03-02,2000-03-01
15740,57994,1995-06-04,1996-06-03
15741,40000,1987-06-26,1988-06-25
15742,40000,1991-07-19,1992-07-18
15743,40000,1998-06-22,1999-06-22
15744,41115,1991-01-19,1992-01-19
15745,40000,1991-07-16,1992-07-15
15746,40821,1987-12-04,1988-12-03
15747,58882,1996-10-31,1997-10-31
15748,46592,1991-11-17,1992-11-16
15749,43823,1987-03-22,1988-03-21
15750,40000,1993-11-13,1994-11-13
15751,40000,1993-11-03,1994-11-03
15752,40000,1988-12-24,1989-12-24
15753,40000,1986-04-22,1987-04-22
15754,41770,1993-03-05,1994-03-05
15755,53413,1988-08-06,1989-08-06
15756,66148,1998-03-31,1999-03-31
15757,71143,1991-08-01,1992-07-31
15758,49936,1994-11-05,1995-11-05
15759,59644,1990-12-05,1991-12-05
15760,79632,1999-04-11,2000-04-10
15761,80258,1997-04-07,1998-04-07
15762,56568,1991-02-05,1992-02-05
15763,60153,1993-08-03,1994-08-03
15764,40000,1988-03-12,1989-03-12
15765,40000,1989-02-15,1990-02-15
15766,47626,1986-11-14,1987-11-14
15767,40000,1985-06-08,1986-06-08
15768,50329,1999-04-06,2000-04-05
15769,61575,1999-06-20,2000-06-19
15770,49213,1995-02-25,1996-02-25
15771,40000,1992-01-28,1993-01-27
15772,48304,1997-05-11,1998-05-11
15773,45968,1988-02-10,1989-02-09
15774,81090,1998-03-13,1999-03-13
15775,61783,1989-11-17,1990-11-17
15776,68190,1996-10-31,1997-10-31
15777,40000,1986-09-29,1987-09-29
15778,44337,1989-09-27,1990-09-27
15779,75110,1996-01-17,1997-01-16
15780,58587,1987-04-02,1988-04-01
15781,64301,1995-07-09,1996-07-08
15782,65360,1991-12-18,1992-12-17
15783,57592,1997-02-11,1998-02-11
15784,91923,1987-10-31,1988-10-30
15785,40000,1992-01-26,1993-01-25
15786,40000,1998-09-16,1999-09-16
15787,40000,1995-06-19,1996-06-18
15788,53521,1990-03-13,1991-03-13
15789,57062,2000-01-30,2001-01-29
15790,77274,1997-12-19,1998-12-19
15791,70186,1988-04-23,1989-04-23
15792,68732,1993-02-24,1994-02-24
15793,67501,1996-03-24,1997-03-24
15794,42356,1987-02-28,1988-02-28
15795,56385,1991-03-19,1992-03-18
15796,40000,1998-10-02,1999-10-02
15797,40000,1991-04-24,1992-04-23
15798,40000,1994-03-02,1995-03-02
15799,64458,1988-05-07,1989-05-07
15800,43841,1986-01-07,1987-01-07
15801,52257,1998-09-13,1999-09-13
15802,46892,1985-04-08,1986-04-08
15803,52590,1999-08-25,2000-08-24
15804,57553,1996-10-24,1997-10-24
15805,89113,1990-05-20,1991-05-20
15806,52327,1988-06-17,1989-06-17
15807,44812,1995-06-09,1996-06-08
15808,82068,1988-06-04,1989-06-04
15809,50619,1988-06-07,1989-06-07
15810,49014,1986-08-26,1987-08-26
15811,81031,1992-05-20,1993-05-20
15812,67864,1993-05-11,1994-05-11
15813,52546,1997-06-01,1997-07-16
15814,68529,1990-03-27,1991-03-27
15815,40000,1990-05-25,1991-05-25
15816,42673,1989-08-08,1990-08-08
15817,51665,1990-12-04,1991-12-04
15818,42944,1987-08-06,1988-08-05
15819,63847,1993-08-16,1994-08-16
15820,45200,1998-07-18,1999-07-18
15821,40000,1988-06-09,1989-06-09
15822,60361,1999-09-24,2000-09-23
15823,40000,1994-10-29,1995-10-29
15824,40000,1988-02-14,1989-02-13
15825,64498,1996-10-30,1997-10-30
15826,40000,1997-01-29,1998-01-29
15827,40000,1991-03-14,1992-03-13
15828,40000,1990-08-22,1991-08-22
15829,55427,1994-01-22,1995-01-22
15830,40000,1997-03-13,1998-03-13
15831,40000,1986-03-20,1987-03-20
15832,40000,1997-11-30,1998-11-30
15833,59841,1985-12-16,1986-12-16
15834,47525,1986-06-14,1987-06-14
15835,72144,1996-02-21,1997-02-20
15836,57599,1985-12-05,1986-12-05
15837,75256,1995-09-27,1996-09-26
15838,58724,1992-06-15,1993-06-15
15839,65553,1991-08-27,1992-08-26
15840,87972,1997-05-07,1998-05-07
15841,40000,1994-05-19,1995-05-19
15842,40000,1991-03-16,1992-03-15
15843,50428,1989-06-08,1990-06-08
15844,51879,1997-08-13,1998-08-13
15845,46552,1994-02-06,1995-02-06
15846,40000,1989-03-23,1990-03-23
15847,40000,1995-09-10,1996-09-09
15848,40000,1999-02-17,2000-02-17
15849,40000,1996-01-22,1997-01-21
15850,48341,1996-03-05,1997-03-05
15851,40000,1993-04-16,1994-04-16
15852,40000,1988-06-01,1989-06-01
15853,73958,1992-08-27,1993-08-27
15854,43581,1992-06-07,1993-06-07
15855,40000,1991-07-28,1992-07-27
15856,44386,1987-09-01,1988-08-31
15857,48271,1989-03-05,1990-03-05
15858,42135,1989-03-04,1990-03-04
15859,57827,1998-01-19,1999-01-19
15860,46794,1985-04-06,1986-04-06
15861,50890,1988-12-19,1989-12-19
15862,55026,1995-05-05,1996-05-04
15863,57562,1998-10-11,1999-10-11
15864,40000,1999-03-13,2000-03-12
15865,40000,1991-01-30,1992-01-30
15866,40000,1986-10-03,1987-10-03
15867,44007,1989-08-16,1990-08-16
15868,40291,1988-05-13,1989-05-13
15869,40000,1994-01-21,1995-01-21
15870,53470,1992-02-25,1993-02-24
15871,61545,1993-09-21,1994-09-21
15872,48062,1993-10-09,1994-10-09
15873,61744,1994-07-19,1995-07-19
15874,40000,1989-10-10,1990-10-10
15875,64362,1995-12-29,1996-12-28
15876,51140,1985-08-02,1986-08-02
15877,40000,1999-08-10,2000-08-09
15878,67784,1990-06-29,1991-06-29
15879,40000,1988-12-22,1989-06-29
15880,40000,1996-12-02,1997-12-02
15881,49887,1986-09-27,1987-09-27
15882,54649,1994-11-09,1995-11-09
15883,67884,1985-04-02,1986-04-02
15884,40000,1996-10-17,1997-10-17
15885,79876,1996-04-02,1997-04-02
15886,40000,1986-12-09,1987-12-09
15887,48518,1990-05-03,1991-05-03
15888,59746,1987-08-07,1988-08-06
15889,63393,1986-02-03,1987-02-03
15890,55652,1996-11-21,1997-11-21
15891,40000,1991-03-18,1992-03-17
15892,60367,1986-09-20,1987-09-20
15893,46831,2000-01-08,2001-01-07
15894,40000,1992-06-03,1993-06-03
15895,73364,1999-09-13,2000-09-12
15896,74549,1987-09-15,1988-09-14
15897,47486,1996-01-07,1997-01-06
15898,40000,1996-04-25,1997-04-25
15899,40000,1991-06-12,1992-06-11
15900,56675,1998-06-08,1999-02-02
15901,40000,1987-09-23,1988-09-22
15902,40000,1988-03-23,1989-03-23
15903,40000,1995-06-24,1996-06-23
15904,64252,1987-04-28,1988-04-27
15905,47421,1988-02-12,1989-02-11
15906,70327,1998-08-24,1999-05-14
15907,49652,1996-06-15,1997-06-15
15908,63292,1993-07-10,1994-07-10
15909,44733,1990-11-03,1991-11-03
15910,40648,1996-11-29,1997-11-29
15911,45602,1991-01-13,1992-01-13
15912,93126,1988-06-07,1989-06-07
15913,58912,1986-04-21,1987-04-21
15914,40000,1997-08-07,1998-08-07
15915,40000,1987-03-22,1988-03-21
15916,49663,1998-07-12,1999-07-12
15917,40000,1986-03-12,1987-03-12
15918,73476,1991-05-18,1992-05-17
15919,44043,1990-05-30,1991-05-30
15920,48494,1988-10-04,1989-10-04
15921,69675,1997-01-19,1998-01-19
15922,75886,1996-10-14,1997-10-14
15923,57215,1987-04-26,1988-04-25
15924,40000,1991-03-29,1992-03-28
15925,98461,1990-06-24,1991-06-24
15926,40000,1998-11-10,1999-11-10
15927,52401,1994-04-22,1995-04-22
15928,40000,1986-01-05,1987-01-05
15929,51243,1999-09-03,2000-09-02
15930,67240,1993-09-24,1994-09-24
15931,40676,1989-06-10,1990-06-10
15932,84994,1998-12-11,1999-12-11
15933,42598,1989-06-16,1990-06-16
15934,50454,1995-08-20,1996-08-19
15935,40000,1988-01-23,1989-01-22
15936,64177,1996-09-01,1997-09-01
15937,46906,1989-04-09,1990-04-09
15938,69499,1988-10-16,1989-10-16
15939,42849,1999-12-22,2000-12-21
15940,72245,1999-08-30,2000-08-29
15941,40000,1996-04-27,1997-04-27
15942,50486,1986-09-09,1987-09-09
15943,40000,1997-02-05,1998-02-05
15944,45281,1997-01-27,1998-01-27
15945,57717,1993-11-16,1994-11-16
15946,70769,1995-03-06,1996-03-05
15947,40000,1988-11-24,1989-11-24
15948,40000,1986-01-14,1987-01-14
15949,40000,1997-07-31,1998-07-31
15950,60252,1993-08-16,1994-08-16
15951,40000,1999-02-19,2000-02-19
15952,43883,1998-06-22,1999-06-22
15953,58928,1990-11-04,1991-11-04
15954,70415,1985-02-28,1986-02-28
15955,45283,1986-03-31,1987-03-31
15956,55441,1985-05-03,1986-05-03
